Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Couscous, cooked           20029       54.9393891  0.000000    0.000000    4.395151    12.756926   0.000000    61.532116   0.015932    0.000000    0.769151    0.042303    0.208770    0.080761    0.142293    0.040106    4.395151    2.746969    0.054939    0.026920    0.000000    0.000000    0.028019    0.000000    0.000000    0.071421    0.054939    
Crabapples, raw            9077        55.2477475  0.000000    0.000000    9.944595    11.021926   0.000000    41.988288   0.026519    0.000000    0.000000    0.003315    0.198892    0.008840    0.013812    0.013812    3.867342    0.552477    0.007735    0.002210    22.099099   0.000000    0.000000    4.419820    0.000000    0.000000    0.000000    
Cherries, sweet, raw       9070        62.4804746  0.000000    0.000000    8.122462    10.003124   0.000000    39.362699   0.023743    0.000000    1.312090    0.009372    0.224930    0.012496    0.018744    0.019994    6.872852    0.000000    0.013746    0.005623    39.987504   0.000000    0.030615    4.373633    0.000000    0.043736    1.312090    
Carissa, (natal-plum), ra  9061        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Carambola, (starfruit), r  9060        6.74042208  0.000000    0.000000    0.202213    0.453630    0.000000    2.089531    0.001281    0.000000    0.188732    0.000539    0.005392    0.002966    0.005190    0.005190    0.674042    0.134808    0.002966    0.000539    4.111657    0.000000    0.001146    2.318705    0.000000    0.010111    0.000000    
Blueberries, raw           9050        19.6745268  0.000000    0.000000    1.180472    2.850839    0.000000    11.214480   0.005509    0.000000    0.472189    0.002164    0.055089    0.004525    0.008657    0.002558    1.180472    0.196745    0.003935    0.000590    10.624244   0.000000    0.010231    1.908429    0.000000    0.112145    3.797184    
Blackberries, raw          9042        10.1817550  0.000000    0.000000    2.952709    0.978467    0.000000    4.378155    0.001425    0.000000    0.539633    0.000000    0.063127    0.000000    0.000000    0.000000    2.036351    0.101818    0.000000    0.000000    21.788956   0.000000    0.003055    2.138169    0.000000    0.119127    2.015988    
Avocados, raw, all commer  9037        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Oil, soybean lecithin      4531        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Oats (Includes foods for   20038       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
